PMID,Author,Affiliation
12470481,"Martínez, Luisa",-
12470481,"Hernández, Milenen",-
12165141,"Kimura, Tsuyoshi","Teijin Institute for Biomedical Research, Teijin Limited, 4-3-2 Asahigaoka, Hino, Tokyo 191-8512, Japan. t.kimura@teijin.co.jp"
12165141,"Co, Man Sung",-
12165141,"Vasquez, Maximiliano",-
12165141,"Wei, Sharon",-
12165141,"Xu, Hattie",-
12165141,"Tani, Shinobu",-
12165141,"Sakai, Yuri",-
12165141,"Kawamura, Takashi",-
12165141,"Matsumoto, Yoh-Ichi",-
12165141,"Nakao, Hiroshi",-
12165141,"Takeda, Tae",-
11981004,"Dimopoulos, Meletios A","Department of Clinical Therapeutics, University of Athens, School of Medicine, Greece. mdimop@med.uoa.gr"
11981004,"Zervas, Constantinos",-
11981004,"Zomas, Athanassios",-
11981004,"Kiamouris, Christos",-
11981004,"Viniou, Nora A",-
11981004,"Grigoraki, Vassiliki",-
11981004,"Karkantaris, Christos",-
11981004,"Mitsouli, Chrisanthi",-
11981004,"Gika, Dimitra",-
11981004,"Christakis, John",-
11981004,"Anagnostopoulos, Nikolaos",-
12477344,"Ojima, Iwao","Department of Chemistry, State University of New York at Stony Brook, Stony Brook, New York 11794-3400, USA. iojima@notes.cc.sunysb.edu"
12477344,"Geng, Xudong",-
12477344,"Wu, Xinyuan",-
12477344,"Qu, Chuanxing",-
12477344,"Borella, Christopher P",-
12477344,"Xie, Hongsheng",-
12477344,"Wilhelm, Sharon D",-
12477344,"Leece, Barbara A",-
12477344,"Bartle, Laura M",-
12477344,"Goldmacher, Victor S",-
12477344,"Chari, Ravi V J",-
12021429,"Baerga-Ortiz, Abel","Department of Chemistry and Biochemistry, University of California, San Diego, La Jolla, California 92093-0359, USA."
12021429,"Hughes, Carrie A",-
12021429,"Mandell, Jeffrey G",-
12021429,"Komives, Elizabeth A",-
12021640,"Zaaijer, Hans L","Department of Medical Microbiology and Infection Control, VUMC University Hospital, 1007 MB Amsterdam, The Netherlands. hans.zaaijer@vumc.nl"
12021640,"Vandenbroucke-Grauls, C M J E",-
12021640,"Franssen, E J F",-
11845256,"Cardarelli, Pina M","Department of Cell Biology, Corixa Corporation, 600 Gateway Boulevard, South San Francisco, CA 94080, USA."
11845256,"Quinn, Maire",-
11845256,"Buckman, Dana",-
11845256,"Fang, Yu",-
11845256,"Colcher, David",-
11845256,"King, David J",-
11845256,"Bebbington, Christopher",-
11845256,"Yarranton, Geoffrey",-
12139374,"Zhang, W","Oklahoma Medical Research Foundation, Oklahoma City 73104, USA."
12139374,"Frank, M B",-
12139374,"Reichlin, M",-
12202579,"Fang, Rong","Unité des Rickettsies, CNRS UMR 6020, IFR 48, Faculty of Medicine, 13385 Marseille, France."
12202579,"Houhamdi, Linda",-
12202579,"Raoult, Didier",-
12090540,"Witherell, Gary","Questcor Pharmaceuticals Inc, Union City, CA 94587-1217, USA. gwitherell@questcor.com"
11874565,"Marcet, Ricardo","Departamento de Parasitología, Instituto de Medicina Tropical 'Pedro Kourí', Ciudad de la Habana, Cuba. marcet@ipk.sld.cu"
11874565,"Díaz, Ailen",-
11874565,"Arteaga, Ernesto",-
11874565,"Finlay, Carlos M",-
11874565,"Sarracent, Jorge",-
12180490,"Waldmann, Herman","Sir William Dunn School of Pathology, Oxford. herman.waldmann@path.ox.ac.uk"
11856572,"Haycock, John W","Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, LSUHSC-BIOCHEM, 1100 Florida Avenue, New Orleans, LA 70119, USA. jhayco@lsuhsc.edu"
11856572,"Kumer, Sean C",-
11856572,"Lewis, David A",-
11856572,"Vrana, Kent E",-
11856572,"Stockmeier, Craig A",-
11854184,"Gigliotti, Francis","Department of Pediatrics, University of Rochester School of Medicine and Dentistry, Rochester, New York 14642, USA. Francis_Gigliotti@urmc.rochester.edu"
11854184,"Haidaris, Constantine G",-
11854184,"Wright, Terry W",-
11854184,"Harmsen, Allen G",-
11889897,"Scott, M","International Blood Group Reference Laboratory, Southmead Road, Bristol, BS10 5ND, UK."
12165147,"Canellada, Andrea","IDEHU-Instituto de Estudios de la Inmunidad Humoral, Cátedra de Immunología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Junín 956 4to piso, 1113, Buenos Aires, Argentina. acanell@ffyb.uba.ar"
12165147,"Margni, Ricardo A",-
11904967,"Takeshita, Akihiro","Laboratory Medicine, Hamamatsu University School of Medicine."
11904967,"Naito, Kensuke",-
11904967,"Ohno, Ryuzo",-
12516769,"Kim, Mee-Kyung","Department of Microbiology, Inha University College of Medicine, Inchon 400-103, Republic of Korea."
12516769,"Odgerel, Zagaa",-
12516769,"Chung, Moon-Hyun",-
12516769,"Lim, Byung-Uk",-
12516769,"Kang, Jae-Seung",-
12424535,"Van Oers, M H J","Department of Hematology, Academic Medical Centre Amsterdam, Meibergdreef 9, 1105 AZ Amsterdam, The Netherlands. M.H.vanOers@AMC.UVA.NL"
12424535,"Hagenbeek, A",-
12424535,"Van Glabbeke, M",-
12424535,"Teodorovic, I",-
12710590,"Coiffier, Bertrand","Hospices Civils de Lyon, Lyon, France."
12710590,"Pfreundschuh, Michael",-
12710590,"Stahel, Rolf",-
12710590,"Vose, Julie",-
12710590,"Zinzani, Pier L",-
12124887,"Menon, Yamini",-
12124887,"Singh, Ranju",-
12124887,"Cuchacovich, Raquel",-
12124887,"Espinoza, Luis R",-
12036930,"Melero, Ignacio","Gene Therapy Unit, Department of Medicine, University of Navarra School of Medicine, C/Irunlarrea, I-31008 Pamplona, Spain. imelero@unav.es"
12036930,"Gabari, Izaskun",-
12036930,"Corbí, Angel L",-
12036930,"Relloso, Miguel",-
12036930,"Mazzolini, Guillermo",-
12036930,"Schmitz, Volker",-
12036930,"Rodriguez-Calvillo, Mercedes",-
12036930,"Tirapu, Iñigo",-
12036930,"Camafeita, Emilio",-
12036930,"Albar, Juan P",-
12036930,"Prieto, Jesús",-
12130792,"Takao, Masashi","Department of Molecular Genetics, Institute of Development, Aging and Cancer, Tohoku University, Sendai, Miyagi 980-8575, Japan."
12130792,"Iwasa, Tatsuo",-
12130792,"Yamamoto, Hiroaki",-
12130792,"Takeuchi, Takuji",-
12130792,"Tokunaga, Fumio",-
12572867,"Ito, Hiroaki","Osaka University Graduate School of Medicine, Department of Molecular Medicine, 2-2 Yamada-oka, Suita 565-0871, Japan."
12572867,"Hirotani, Tomonori",-
12572867,"Yamamoto, Mitsunari",-
12572867,"Ogawa, Hiroyuki",-
12572867,"Kishimoto, Tadamitsu",-
12009015,"Westbroek, Irene","Department of Molecular Cell Biology, Leiden University Medical Center, The Netherlands."
12009015,"De Rooij, Karien E",-
12009015,"Nijweide, Peter J",-
12744627,"Khawsuk, Witoon","Department of Anatomy, Faculty of Science, Mahidol University, Bangkok, Thailand."
12744627,"Soonklang, Nantawan",-
12744627,"Grams, Rudi",-
12744627,"Vichasri-Grams, Suksiri",-
12744627,"Wanichanon, Chaitip",-
12744627,"Meepool, Ardool",-
12744627,"Chaithirayanon, Kulathida",-
12744627,"Ardseungneon, Pissanee",-
12744627,"Viyanant, Vithoon",-
12744627,"Upathum, Suchart Edward",-
12744627,"Sobhon, Prasert",-
12104082,"Honda, Teruko","Institute for Health Sciences, Tokushima Bunri University, Nishihama, Yamashiro-cho, Tokushima 770-8514, Japan."
12104082,"Inagawa, Hiroyuki",-
12104082,"Fukushima, Masakazu",-
12104082,"Moriyama, Akira",-
12104082,"Soma, Gen-Ichiro",-
12165435,"van Berkel, Patrick H C","Pharming, Archimedesweg 4, 2333 CN, PO Box 451, 2300 AL Leiden, The Netherlands."
12165435,"van Veen, Harrie A",-
12165435,"Geerts, Marlieke E J",-
12165435,"Nuijens, Jan H",-
11988375,"Veselský, L","Institute of Molecular Genetics, Academy of Sciences of the Czech Republic, Flemingovo n. 2, 16637 Prague 6, Czech Republic. veselsky@img.cas.cz"
11988375,"Dostál, J",-
11988375,"Kraus, M",-
11988375,"Peknicová, J",-
11988375,"Holán, V",-
11988375,"Zajícová, A",-
11988375,"Jonáková, V",-
11988375,"Zelezná, B",-
12165438,"Seideman, Jonathan","Department of Immunobiology, Centocor, 200 Great Valley Parkway, Malvern, PA 19355, USA. jseidema@cntus.jnj.com"
12165438,"Peritt, David",-
12067443,"Déas, Olivier","INSERM U542/Paris-Sud University, Bâtiment Lavoisier, 16 avenue Paul Vaillant Couturier, 94807 Villejuif Cedex, France."
12067443,"Angevin, Eric",-
12067443,"Cherbonnier, Claire",-
12067443,"Senik, Anna",-
12067443,"Charpentier, Bernard",-
12067443,"Levillain, Jean Paul",-
12067443,"Oosterwijk, Egbert",-
12067443,"Hirsch, François",-
12067443,"Dürrbach, Antoine",-
12218087,"Kahn, Harriette J","Department of Pathology, Sunnybrook and Women's College Health Sciences Centre, Toronto, Ontario, Canada. harriette.kahn@swchsc.on.ca"
12218087,"Marks, Alexander",-
12431482,"Lugovskoy, E V","Palladin Institute of Biochemistry, National Academy of Sciences of Ukraine, 9 Leontovicha street, Kiev 01601, Ukraine."
12431482,"Kolesnikova, I N",-
12431482,"Gritsenko, P G",-
12431482,"Zolotareva, E N",-
12431482,"Gaffney, P",-
12431482,"Nieuwenhuizen, W",-
12431482,"Komisarenko, S V",-
12141727,"Arilla, M Carmen","Research and Development Department, Bial-ARISTEGUI, Bilbao, Spain."
12141727,"Eraso, Elena",-
12141727,"Ibarrola, Ignacio",-
12141727,"Algorta, Jaime",-
12141727,"Martínez, Alberto",-
12141727,"Asturias, Juan A",-
12097283,"Wahl, Alan F","Seattle Genetics, Inc., Bothell, Washington 98021, USA. awahl@seagen.com"
12097283,"Klussman, Kerry",-
12097283,"Thompson, Jennifer D",-
12097283,"Chen, Judy H",-
12097283,"Francisco, Leigh V",-
12097283,"Risdon, Grant",-
12097283,"Chace, Dana F",-
12097283,"Siegall, Clay B",-
12097283,"Francisco, Joseph A",-
12142218,"Undar, Akif",-
12142218,"Fraser, Charles D Jr",-
11950538,"Schulte, Claudia C","Section of Physiological Acoustics and Communication, Department of Otolaryngology, University of Tübingen, Silcherstr. 5, 72076, Germany."
11950538,"Meyer, Jens",-
11950538,"Furness, David N",-
11950538,"Hackney, Carole M",-
11950538,"Kleyman, Thomas R",-
11950538,"Gummer, Anthony W",-
12406598,"Köszegi, Tamás","Department of Clinical Chemistry, Faculty of General Medicine, Pécs University, Ifjúság u. 13, H-7624 Pécs, Hungary."
12173042,"Zambrano, Alberto","Department of Molecular Biology and Biochemistry, University of California at Irvine, Irvine, California, CA 92697, USA."
12173042,"Villarreal, Luis P",-
12468448,"Drake, Pascal M W","Department of Oral Medicine and Pathology, Unit of Immunology, Guy's Tower, Guy's Hospital, GKT Dental Institute, London Bridge, London SE1 9RT, UK."
12468448,"Chargelegue, Daniel",-
12468448,"Vine, Nicholas D",-
12468448,"Van Dolleweerd, Craig J",-
12468448,"Obregon, Patricia",-
12468448,"Ma, Julian K-C",-
12089053,"Caruso, Paola","Instituto Valenciano de Investigaciones Agrarias, Apartado Oficial, Carretera Moncada-Náquera Km 4.5, 46113 Moncada, Valencia, Spain."
12089053,"Gorris, María Teresa",-
12089053,"Cambra, Mariano",-
12089053,"Palomo, José Luis",-
12089053,"Collar, Jesús",-
12089053,"López, María M",-
11925603,"He, Feng-Tian","Department of Biochemistry & Molecular Biology, Third Military Medical University, Chongqing 400038, China. hefengtian@163.net"
11925603,"Nie, Yong-Zhan",-
11925603,"Chen, Bao-Jun",-
11925603,"Qiao, Tai-Dong",-
11925603,"Fan, Dai-Ming",-
11925603,"Li, Rong-Fen",-
11925603,"Kang, Yun-Sheng",-
11925603,"Zhang, Yan",-
12052561,"Haralambieva, Iana H","Department of Microbiology, Medical University of Sofia, Zdrave 2 street, 1431, Sofia, Bulgaria."
12052561,"Iankov, Ianko D",-
12052561,"Petrov, Dragomir P",-
12052561,"Mladenov, Ivan V",-
12052561,"Mitov, Ivan G",-
11907566,"Izumi, Yotaro","Edwin L. Steele Laboratory, Department of Radiation Oncology, Massachusetts General Hospital, Harvard Medical School, Boston, MA 02114, USA."
11907566,"Xu, Lei",-
11907566,"di Tomaso, Emmanuelle",-
11907566,"Fukumura, Dai",-
11907566,"Jain, Rakesh K",-
11792397,"Rebello, Peppy","Sir William Dunn School of Pathology, University of Oxford, South Parks Road, OX1 3RE, Oxford, UK."
11792397,"Hale, Geoff",-
12384543,"Kono, Koji","First Department of Surgery, Yamanashi Medical University, Japan. kojikono@res.yamanashi-med.ac.jp"
12384543,"Takahashi, Akihiro",-
12384543,"Ichihara, Fumiko",-
12384543,"Sugai, Hidemitsu",-
12384543,"Fujii, Hideki",-
12384543,"Matsumoto, Yoshirou",-
12008927,"Kawakami, Kazuyoshi","First Department of Internal Medicine, Faculty of Medicine, University of the Ryukyus, Okinawa, Japan. kawakami@med.u-ryukyu.ac.jp"
12008927,"Koguchi, Yoshinobu",-
12008927,"Qureshi, Mahboob Hossain",-
12008927,"Zhang, Tiantuo",-
12008927,"Kinjo, Yuki",-
12008927,"Yara, Satomi",-
12008927,"Uezu, Kaori",-
12008927,"Shibuya, Kazutoshi",-
12008927,"Naoe, Shiro",-
12008927,"Saito, Atsushi",-
11827476,"Liu, Bin","Department of Anesthesia, University of California, San Francisco, Rm. 3C-38, San Francisco General Hospital, 1001 Potrero Avenue, San Francisco, CA 94110, USA. liub@anesthesia.ucsf.edu"
11827476,"Huang, Lan",-
11827476,"Sihlbom, Carina",-
11827476,"Burlingame, Al",-
11827476,"Marks, James D",-
12164343,"Hitomi, Jiro","Department of Cellular Function, Niigata University Graduate School of Medical and Dental Sciences, Japan. jhitomi@med.niigata-u.ac.jp"
12164343,"Ishizaki, Fumio",-
12164343,"Kimura, Eiji",-
12164343,"Sato, Nobuyuki",-
12470474,"Dobroff, A S","Department of Microbiology, Immunology and Parasitology, Federal University of São Paulo (UNIFESP), São Paulo, Brazil."
12470474,"Rodrigues, E G",-
12470474,"Moraes, J Z",-
12470474,"Travassos, L R",-
11911806,"Hikono, Hirokazu","National Institute of Animal Health, Tsukuba, Ibaraki 305-0856, Japan. hikono@affrc.go.jp"
11911806,"Zhou, Jian-Hua",-
11911806,"Ohta, Masato",-
11911806,"Inumaru, Shigeki",-
11911806,"Momotani, Eiichi",-
11911806,"Sakurai, Michiharu",-
12690505,"Sagawa, Kazunori","Department of Legal Medicine, Wakayama Medical University, Kimiidera 811-1, 640-0012 Wakayama, Japan."
12690505,"Kimura, Akihiko",-
12690505,"Saito, Yoshifumi",-
12690505,"Inoue, Hiroshi",-
12690505,"Yasuda, Seiji",-
12690505,"Nosaka, Mizuho",-
12690505,"Tsuji, Tsutomu",-
12188222,"Savoia, Dianella","Department of Clinical and Biological Sciences, University of Torino, S. Luigi Hospital, Italy."
12188222,"Avanzini, Claudio",-
12188222,"Conti, Stefania",-
12188222,"Magliani, Valter",-
12188222,"Frazzi, Raffaele",-
12188222,"Polonelli, Luciano",-
12433683,"Wulf, Gerald G","Center for Cell and Gene Therapy, Baylor College of Medicine, Houston, TX 77030, USA."
12433683,"Luo, Kang-Li",-
12433683,"Goodell, Margaret A",-
12433683,"Brenner, Malcolm K",-
11940235,"Fiorentini, S","University of Brescia Medical School, Spedali Civili, piazzale Spedali Civili, Brescia, Italy."
11940235,"De Panfilis, G",-
11940235,"Pasolini, G",-
11940235,"Bonfanti, C",-
11940235,"Caruso, A",-
12270546,"Gruber, Andreas","Department of Cancer Immunology and AIDS, Dana-Farber Cancer Institute, 44 Binney Street, JFB-809, Boston, MA 02115-6084, USA. andreas_gruber@dfci.harvard.edu"
12270546,"Chalmers, Alistair S",-
12270546,"Popov, Sergei",-
12270546,"Ruprecht, Ruth M",-
12023970,"Janciauskiene, Sabina","Department of Internal Medicine, University Hospital, Malmö, 20502 Malmö, Sweden. sabina.janciauskiene@medforsk.mas.lu.se"
12023970,"Dominaitiene, Ruta",-
12023970,"Sternby, Nils H",-
12023970,"Piitulainen, Eva",-
12023970,"Eriksson, Sten",-
11829130,"Fernandez-Sánchez, E","Department of Pharmacology and Toxicology, Center of Biological Evaluation and Research, Institute of Pharmacy and Foods, University of Havana, La Coronela, Cuba."
11829130,"Ducongé, J",-
11829130,"Castillo, R",-
11829130,"Garcia, I",-
11829130,"Beausoleil, I",-
11829130,"Macías, A",-
11922917,"Arakawa, Masaaki","Biochemical Research Laboratory, Research and Development Headquarters, Eiken Chemical Co., Ltd., 143 Nogi, Nogi-machi, Shimotsuga-gun, Tochigi-ken, 329-0114, Japan. massaaki_arakawa@eiken.co.jp"
11922917,"Itoh, Yoshihisa",-
11922917,"Yoshioka, Naofumi",-
11922917,"Sakurabayashi, Ikunosuke",-
11972699,"Delamare, A P L","Institute of Biotechnology, University of Caxias do Sul, RS, Brazil."
11972699,"Echeverrigaray, S",-
11972699,"Duarte, K R",-
11972699,"Gomes, L H",-
11972699,"Costa, S O P",-
12162348,"Korn, N","Department of Animal and Veterinary Sciences, Clemson University, South Carolina 29634-0361, USA."
12162348,"Scott, T R",-
12162348,"Pooser, B P",-
12162348,"Thurston, R J",-
12227415,"Wang, Young Y","Department of Pathology, Johns Hopkins Medical Institutions, Baltimore, MD 21287, USA."
12227415,"Kuhajda, Francis P",-
12227415,"Cheng, Paul",-
12227415,"Chee, Wey Yeeng",-
12227415,"Li, Tianwei",-
12227415,"Helzlsouer, Kathy J",-
12227415,"Sokoll, Lori J",-
12227415,"Chan, Daniel W",-
12064797,"Pant, Keshab D","Department of Gastroenterology, Loma Linda Medical Center, California 92350, USA."
12064797,"McCracken, John D",-
11841546,"Noël, Danièle","Institut de Génétique Moléculaire de Montpellier, UMR5535/IGR 24, Montpellier, France."
11841546,"Dazard, Jean-Eudes",-
11841546,"Pelegrin, Mireia",-
11841546,"Jacquet, Chantal",-
11841546,"Piechaczyk, Marc",-
12474535,"Chang, Sam S","Department of Urologic Surgery, A-1302 Medical Center North, Vanderbilt University Medical Center, Nashville, TN 37272, USA. sam.chang@mcmail.vanderbilt.edu"
12474535,"Heston, Warren D W",-
12406833,"Flood-Page, Patrick T","Department of Allergy and Clinical Immunology, National Heart and Lung Institute, Faculty of Medicine, Imperial College, London, United Kingdom."
12406833,"Menzies-Gow, Andrew N",-
12406833,"Kay, A Barry",-
12406833,"Robinson, Douglas S",-
11941450,"Cho, NaMi","Department of Medicinal Chemistry and Molecular Pharmacology, Hansen Life Sciences Research Building, Purdue University, West Lafayette, IN 47907, USA."
11941450,"Chueh, Pin-Ju",-
11941450,"Kim, Chinpal",-
11941450,"Caldwell, Sara",-
11941450,"Morré, Dorothy M",-
11941450,"Morré, D James",-
11734302,"Abbas Rizvi, Syed M","Centre for Experimental Radiation Oncology, St George Cancer Care Centre, Gray St, NSW 2217, Kogarah, Australia."
11734302,"Henniker, A J",-
11734302,"Goozee, G",-
11734302,"Allen, B J",-
12115595,"Naundorf, Stefanie","Micromet AG, Martinsried, Germany."
12115595,"Preithner, Susanne",-
12115595,"Mayer, Petra",-
12115595,"Lippold, Sandra",-
12115595,"Wolf, Andreas",-
12115595,"Hanakam, Frank",-
12115595,"Fichtner, Iduna",-
12115595,"Kufer, Peter",-
12115595,"Raum, Tobias",-
12115595,"Riethmüller, Gert",-
12115595,"Baeuerle, Patrick A",-
12115595,"Dreier, Torsten",-
12573113,"Acosta Bas, Carmen","Centro de Inmunoensayo, Apdo 6653, Ave 25 y 134, Cubanacán, Playa, Ciudad Habana, Cuba. iqmonoclo2@cie.sld.cu"
12573113,"Baluja Conde, Ileana B",-
12573113,"Brito Moreno, Adys I",-
12573113,"Rodríguez López, Maya Rosa",-
12573113,"Melchor, Antonio",-
12573113,"Hernández, Liliana",-
12573113,"Frómeta, Amarilys",-
12573113,"Selles, María E",-
12573113,"Martínez, Luisa",-
12074706,"Nakamura, Yuka","Department of Veterinary Internal Medicine, Nihon University, School of Veterinary Medicine, Kanagawa, Japan. yuka@brs.nihon-u.ac.jp"
12074706,"Nakashima, Ko",-
12074706,"Kano, Rui",-
12074706,"Watanabe, Shinichi",-
12074706,"Hasegawa, Atsuhiko",-
12384448,"Wiestner, Adrian","Hematology Branch, National Heart, Lung, and Blood Institute, National Institutes of Health, Bethesda, MD, USA."
12384448,"Cho, Hearn J",-
12384448,"Asch, Adam S",-
12384448,"Michelis, Mary Ann",-
12384448,"Zeller, Jack A",-
12384448,"Peerschke, Ellinor I B",-
12384448,"Weksler, Babette B",-
12384448,"Schechter, Geraldine P",-
12228164,"Arzoo, K","Department of Medicine, University of Southern California, Keck School of Medicine, Los Angeles, California 90033, USA."
12228164,"Sadeghi, S",-
12228164,"Liebman, H A",-
11873012,"Kunert, Renate E","Institute of Applied Microbiology, University of Agricultural Sciences, Muthgasse 18, A-1190 Vienna, Austria."
11873012,"Weik, Robert",-
11873012,"Ferko, Boris",-
11873012,"Stiegler, Gabriela",-
11873012,"Katinger, Hermann",-
11786371,"Turner, K J","MRC Human Reproductive Sciences Unit, 37 Chalmers Street, Edinburgh EH3 9ET, UK."
11786371,"Macpherson, S",-
11786371,"Millar, M R",-
11786371,"McNeilly, A S",-
11786371,"Williams, K",-
11786371,"Cranfield, M",-
11786371,"Groome, N P",-
11786371,"Sharpe, R M",-
11786371,"Fraser, H M",-
11786371,"Saunders, P T K",-
12394845,"Berney, Thierry","Division of Transplantation, Department of Surgery, University of Miami School of Medicine, Miami, FL 33136, USA."
12394845,"Delis, Spiros",-
12394845,"Kato, Tomoaki",-
12394845,"Nishida, Seigo",-
12394845,"Mittal, Naveen K",-
12394845,"Madariaga, Juan",-
12394845,"Levi, David",-
12394845,"Nery, Jose R",-
12394845,"Cirocco, Robert E",-
12394845,"Gelman, Barry",-
12394845,"Ruiz, Philip",-
12394845,"Tzakis, Andreas G",-
12901508,"Fengtian, He","Department of Biochemistry and Molecular Biology, Third Military Medical University, Chongqing 400038. hefengtian@.163.net"
12901508,"Yongzhan, Nie",-
12901508,"Baojun, Chen",-
12901508,"Taidong, Qiao",-
12901508,"Zheyi, Han",-
12901508,"Daiming, Fan",-
12270058,"Jäeger, Gerald","Department of Hematology, Karl-Franzens University, Graz, Austria. gerald.jaeger@kfunigraz.ac.at"
12270058,"Neumeister, Peter",-
12270058,"Brezinschek, Ruth",-
12270058,"Höfler, Gerald",-
12270058,"Quehenberger, Franz",-
12270058,"Linkesch, Werner",-
12270058,"Sill, Heinz",-
12042653,"Koch, Martina","Klinik für Viszeral- und Transplantationschirurgie, Medizinische Hochschule Hannover, Hannover, Germany."
12042653,"Niemeyer, Gerit",-
12042653,"Patel, Indravadan",-
12042653,"Light, Susan",-
12042653,"Nashan, Bjoern",-
12063020,"Lammers, Reiner","Internal Medicine IV, Division of Diabetes Research, University of Tübingen, Tübingen, Germany."
12063020,"Giesert, Christina",-
12063020,"Grünebach, Frank",-
12063020,"Marxer, Anke",-
12063020,"Vogel, Wichard",-
12063020,"Bühring, Hans Jörg",-
12506023,"Sansonno, Domenico","Department of Biomedical Sciences and Human Oncology, Section of Internal Medicine and Clinical Oncology, University of Bari Medical School, Bari, Italy."
12506023,"De Re, Valli",-
12506023,"Lauletta, Gianfranco",-
12506023,"Tucci, Felicia Anna",-
12506023,"Boiocchi, Mauro",-
12506023,"Dammacco, Franco",-
12176898,"Rose, Andrea L","Fred Hutchinson Cancer Research Center, Seattle, WA, USA. arose@fhcrc.org"
12176898,"Smith, Barbara E",-
12176898,"Maloney, David G",-
11806974,"Cartron, Guillaume","Service d'Oncologie Médicale et Maladies du Sang et Laboratoire d'Immunologie, Centre Hospitalier Régional et Universitaire de Tours, 37044 Tours Cedex, France."
11806974,"Dacheux, Laurent",-
11806974,"Salles, Gilles",-
11806974,"Solal-Celigny, Philippe",-
11806974,"Bardos, Pierre",-
11806974,"Colombat, Philippe",-
11806974,"Watier, Hervé",-
12151436,"Kathuria, S","Department of Molecular Biotechnology, 52074 Aachen, Germany, Talwar Research Foundation, New Delhi 110068, India."
12151436,"Sriraman, R",-
12151436,"Nath, R",-
12151436,"Sack, M",-
12151436,"Pal, R",-
12151436,"Artsaenko, O",-
12151436,"Talwar, G P",-
